step,element,x,y,z,energy
181,O,0.685859308079108,3.978236224575963,2.7527405793865216,6.208825503197306
181,N,1.2930196477304197,4.474655523880503,5.0265375275998325,28.657562430612703
181,Na,1.787896097079762,3.111407078132592,5.479958563757864,7.974270185773446
181,Si,1.5590673017166181,1.7122486210956525,2.476280843578056,10.209275295376308
181,Na,1.3299824564590046,3.8234423134103945,3.5009255709933758,27.365501297383084
181,Fe,2.0343457371457507,0.5674212182396708,1.534482256096516,8.059653301793018
181,Fe,4.16955190750987,1.6447319594105378,3.4293482724776796,8.343515237269317
181,He,1.8322641508713842,3.2067327221984474,6.631728292068707,5.276591856307905
181,O,0.09102859343234491,1.4149435789372382,2.0769636928475776,9.100145746512409
181,Fe,0.5218108910844421,2.398529702645911,4.649216458925704,8.60417369247324
181,He,1.9597599009333018,0.3805131013968316,5.859489209467144,4.917969606160278
181,Na,4.6092376926079135,2.6082551492730084,1.1813618691500065,5.009515964465037
181,Na,2.6333589030962727,3.4768710972888384,0.32507231652825364,6.940472669171937
181,Fe,1.5273272563794191,3.96236822506354,7.596110397844001,30.040635549036164
181,H,4.042735710688988,1.2857214101086605,1.3478076761437894,5.992145634275312
181,C,2.158249131296826,1.5367974001152445,7.776370926433705,9.878624025647033
181,Na,1.163976029124864,4.546363312211805,2.4165590204819463,7.137631748633388
181,O,1.5640876649346795,2.8419765445010152,9.26168775977256,15.007577970378595
181,Si,4.81969489811312,4.547726981969666,5.154029012930788,10.578010896851623
181,Na,0.8232671955121413,2.63282007394545,8.176833873869793,9.682247613862282
181,N,3.1352678293863248,0.7783106229947939,4.627714641749708,8.596744402940288
181,He,1.0736079959700096,1.6364076275339805,2.390491012574289,4.1961405758047885
181,O,3.2253472761194706,2.6350256573304676,0.14448744781088171,8.92936544585977
181,H,3.0086611271134274,2.4859141692908624,6.598808113413991,7.028361791889666
181,Si,3.982614990182864,2.3330601148670613,9.129430039483848,13.984198760479027
181,O,2.344337158309388,1.0024631281786298,7.839760744222195,11.389919935628111
181,Na,0.5647584767193427,1.4709634258642115,6.914941713458985,8.388158273622313
181,Si,1.043499158549337,4.109455593165977,2.354256611281673,10.15381810594004
181,Si,4.204132302608573,3.2857686857523403,1.8246279276117763,10.093684356100669
